title,type,release_year,runtime,genres,lead_production_country,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,role,dbscan_cluster
Five Came Back: The Reference Films,SHOW,1945,51,documentation,US,6.540941965073206,21150.29081903414,0.601,6.633193712829227,Unknown,Unknown,0
Rocky,MOVIE,1976,119,drama,US,8.1,588100.0,106.361,7.782,Sylvester Stallone,ACTOR,1
Grease,MOVIE,1978,110,romance,US,7.2,283316.0,33.16,7.406,John Travolta,ACTOR,2
The Sting,MOVIE,1973,129,crime,US,8.3,266738.0,24.616,8.02,Paul Newman,ACTOR,3
Rocky II,MOVIE,1979,119,drama,US,7.3,216307.0,75.699,7.246,Sylvester Stallone,ACTOR,1
Monty Python and the Holy Grail,MOVIE,1975,91,fantasy,GB,8.2,547292.0,20.964,7.804,Graham Chapman,ACTOR,-1
Animal House,MOVIE,1978,109,comedy,US,7.4,123611.0,17.372,7.02,John Belushi,ACTOR,4
Monty Python's Flying Circus,SHOW,1969,30,comedy,GB,8.8,75654.0,24.773,8.258,Graham Chapman,ACTOR,5
Life of Brian,MOVIE,1979,94,comedy,GB,8.0,405022.0,19.787,7.762,Graham Chapman,ACTOR,6
White Christmas,MOVIE,1954,120,comedy,US,7.5,46586.0,11.598,7.2,Bing Crosby,ACTOR,4
Heroes,MOVIE,1977,112,drama,US,6.0,1883.0,7.869,6.5,Henry Winkler,ACTOR,1
Play Misty for Me,MOVIE,1971,102,drama,US,6.9,29706.0,10.964,6.612,Clint Eastwood,ACTOR,1
Cairo Station,MOVIE,1958,77,drama,EG,7.5,4878.0,7.372,7.4,Farid Shawqi,ACTOR,7
Richard Pryor: Live in Concert,MOVIE,1979,78,comedy,US,8.1,5141.0,7.266,7.432,Richard Pryor,ACTOR,4
Bandie,MOVIE,1978,141,drama,IN,4.8,37.0,1.862,6.0,Uttam Kumar,ACTOR,8
Prince,MOVIE,1969,152,romance,IN,6.8,199.0,2.45,7.0,Shammi Kapoor,ACTOR,9
FTA,MOVIE,1972,97,comedy,US,6.4,433.0,2.062,6.1,Jane Fonda,ACTOR,4
Monty Python's Fliegender Zirkus,SHOW,1972,43,comedy,GB,8.1,2199.0,1.475,7.0,Graham Chapman,ACTOR,5
Hitler: A Career,MOVIE,1977,150,documentation,DE,7.5,2718.0,7.155,7.4,Gert Westphal,ACTOR,10
Amrapali,MOVIE,1966,120,fantasy,IN,6.7,251.0,2.805,6.3,Vyjayanthimala,ACTOR,11
Alibaba Aur 40 Chor,MOVIE,1980,138,drama,IN,6.2,599.0,3.711,6.8,Dharmendra,ACTOR,8
Manoranjan,MOVIE,1974,162,romance,IN,6.5,259.0,1.48,5.3,Suhail Tatari,DIRECTOR,9
Professor,MOVIE,1962,163,drama,IN,6.9,312.0,1.911,5.8,Shammi Kapoor,ACTOR,8
Khoon Khoon,MOVIE,1973,131,crime,IN,5.3,50.0,2.46,3.8,Mahendra Sandhu,ACTOR,12
Saladin the Victorious,MOVIE,1963,186,drama,EG,7.6,2670.0,6.781,7.1,Ahmed Mazhar,ACTOR,7
The Other Side of the Mountain,MOVIE,1975,103,drama,US,6.4,1181.0,5.147,6.2,Marilyn Hassett,ACTOR,1
Dark Waters,MOVIE,1956,120,drama,EG,6.7,703.0,2.999,5.556,Omar Sharif,ACTOR,7
The Blazing Sun,MOVIE,1954,100,drama,EG,7.4,1219.0,2.854,6.865,Faten Hamamah,ACTOR,7
The Return of the Prodigal Son,MOVIE,1976,124,drama,EG,7.1,863.0,2.587,5.577,Hesham Selim,ACTOR,7
Alexandria… Why?,MOVIE,1980,133,drama,EG,7.3,1859.0,2.465,6.3,Mohsen Mohey ElDein,ACTOR,7
Salaakhen,MOVIE,1975,133,thriller,IN,5.8,78.0,2.358,6.7,Shashi Kapoor,ACTOR,13
The Land,MOVIE,1970,129,drama,EG,8.0,2189.0,2.185,8.4,Mahmoud el-Meliguy,ACTOR,7
Elaan,MOVIE,1971,142,action,IN,5.8,81.0,1.115,6.0,Vinod Mehra,ACTOR,14
